Name,Unit,Expression,Value,Comments,Favorite
d4_Copy,mm,1.4582396456 mm,1.458,,false
d12_Copy,mm,1.2465277595 mm,1.247,,false
d8_Copy,mm,1.1920094999 mm,1.192,,false
d6_Copy,mm,1.1961059904 mm,1.196,,false
d10_Copy,mm,1.0426695368 mm,1.043,,false
d1_Copy,mm,1.325403335 mm,1.325,,false
d18_Copy,mm,0.7987676779 mm,0.799,,false
d3_Copy,mm,1.2627009967 mm,1.263,,false
d11_Copy,mm,1.1279390679 mm,1.128,,false
d9_Copy,mm,0.4598675812 mm,0.46,,false
d13_Copy,mm,0.4541001256 mm,0.454,,false
d17_Copy,mm,1.3096579331 mm,1.31,,false
d5_Copy,mm,1.3352054274 mm,1.335,,false
d14_Copy,mm,1.4352080328 mm,1.435,,false
d20_Copy,mm,1.4359133953 mm,1.436,,false
d15_Copy,mm,1.3846826308 mm,1.385,,false
d2_Copy,mm,1.2860261008 mm,1.286,,false
d22_Copy,mm,1.4748645708 mm,1.475,,false
d16_Copy,mm,1.1716441924 mm,1.172,,false
d7_Copy,mm,0.8669602292 mm,0.867,,false
d19_Copy,mm,0.2858116381 mm,0.286,,false
d21_Copy,mm,1.402141851 mm,1.402,,false
